Table S3. Acknowledgement of GISAID sequences used in the design of SCV2 PepSeq Library.

Virus Name	Accession No.	Collected	Originating laboratory	Submitting laboratory	Authors
USA/WA1-F6/2020	EPI_ISL_407215	1/25/20	Washington State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
Hangzhou/HZCDC0001/2020	EPI_ISL_407313	1/19/20	Hangzhou Center for Disease Control and Prevention	Hangzhou Center for Disease Control and Prevention	Jun Li et al
Australia/NSW01/2020	EPI_ISL_407893	1/24/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al
Australia/QLD01/2020	EPI_ISL_407894	1/28/20	Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al
Australia/QLD02/2020	EPI_ISL_407896	1/30/20	Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al
Belgium/GHB-03021/2020	EPI_ISL_407976	2/3/20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
Singapore/2/2020	EPI_ISL_407987	1/25/20	Singapore General Hospital	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
Singapore/3/2020	EPI_ISL_407988	2/1/20	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
USA/CA3/2020	EPI_ISL_408008	1/29/20	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
USA/CA4/2020	EPI_ISL_408009	1/29/20	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
USA/CA5/2020	EPI_ISL_408010	1/29/20	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
France/IDF0515/2020	EPI_ISL_408430	1/29/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
France/IDF0626/2020	EPI_ISL_408431	1/29/20	Sorbonne Université, Inserm et Assistance Publique-Hôpitaux de Paris (Pitié Salpétrière)	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
Chongqing/YC01/2020	EPI_ISL_408478	1/21/20	Yongchuan District Center for Disease Control and Prevention	Chongqing Municipal Center for Disease Control and Prevention	Ye Sheng et al
Chongqing/ZX01/2020	EPI_ISL_408479	1/23/20	Zhongxian Center for Disease Control and Prevention	Chongqing Municipal Center for Disease Control and Prevention	Ye Sheng et al
Yunnan/IVDC-YN-003/2020	EPI_ISL_408480	1/17/20	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan et al
Chongqing/IVDC-CQ-001/2020	EPI_ISL_408481	1/18/20	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan et al
Shandong/IVDC-SD-001/2020	EPI_ISL_408482	1/19/20	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan et al
Sichuan/IVDC-SC-001/2020	EPI_ISL_408484	1/15/20	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan et al
Beijing/IVDC-BJ-005/2020	EPI_ISL_408485	1/18/20	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan et al
Jiangxi/IVDC-JX-002/2020	EPI_ISL_408486	1/11/20	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan et al
Taiwan/NTU01/2020	EPI_ISL_408489	1/31/20	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al
env/Wuhan/IVDC-HBF13-20/2020	EPI_ISL_408514	1/1/20	Institute of Viral Disease Control and Prevention, China CDC	Institute of Viral Disease Control and Prevention, China CDC	William J. Liu et al
env/Wuhan/IVDC-HBF13-21/2020	EPI_ISL_408515	1/1/20	Institute of Viral Disease Control and Prevention, China CDC	Institute of Viral Disease Control and Prevention, China CDC	William J. Liu et al
Japan/TY-WK-012/2020	EPI_ISL_408665	1/29/20	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
Japan/TY-WK-501/2020	EPI_ISL_408666	1/31/20	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
Japan/TY-WK-521/2020	EPI_ISL_408667	1/31/20	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
Japan/KY-V-029/2020	EPI_ISL_408669	1/29/20	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
Australia/NSW02/2020	EPI_ISL_408976	1/22/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al
Australia/NSW03/2020	EPI_ISL_408977	1/25/20	Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	Eden J-S et al
USA/MA1/2020	EPI_ISL_409067	1/29/20	Massachusetts Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al
USA/IL2/2020	EPI_ISL_410045	1/28/20	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al
Taiwan/NTU02/2020	EPI_ISL_410218	2/5/20	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al
Nepal/61/2020	EPI_ISL_410301	1/13/20	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al
Japan/NA-20-05-1/2020	EPI_ISL_410531	1/25/20	Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
Japan/OS-20-07-1/2020	EPI_ISL_410532	1/23/20	Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
Singapore/4/2020	EPI_ISL_410535	2/3/20	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
Singapore/5/2020	EPI_ISL_410536	2/6/20	Singapore General Hospital, Molecular Laboratory, Division of Pathology	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
Singapore/6/2020	EPI_ISL_410537	2/9/20	Singapore General Hospital, Molecular Laboratory, Division of Pathology	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
Singapore/7/2020	EPI_ISL_410713	1/27/20	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Singapore/8/2020	EPI_ISL_410714	2/3/20	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Singapore/9/2020	EPI_ISL_410715	2/4/20	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Singapore/10/2020	EPI_ISL_410716	2/4/20	National Public Health Laboratory, National Centre for Infectious Diseases	National Centre for Infectious Diseases, National Centre for Infectious Diseases	Octavia S et al
Australia/QLD03/2020	EPI_ISL_410717	2/5/20	Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al
Australia/QLD04/2020	EPI_ISL_410718	2/5/20	Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al
Singapore/11/2020	EPI_ISL_410719	2/2/20	National Public Health Laboratory	National Public Health Laboratory	Octavia S et al
France/IDF0372-isl/2020	EPI_ISL_410720	1/23/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
pangolin/Guangdong/1/2019	EPI_ISL_410721	2019	South China Agricultural University	South China Agricultural University	Yongyi Shen et al
France/IDF0515-isl/2020	EPI_ISL_410984	1/29/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
Fujian/8/2020	EPI_ISL_411060	1/21/20	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Chen Wei et al
Fujian/13/2020	EPI_ISL_411066	1/22/20	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Chen Wei et al
France/IDF0571/2020	EPI_ISL_411218	2/2/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon	Olivier Terrier et al
France/IDF0386-islP1/2020	EPI_ISL_411219	1/28/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon	Olivier Terrier et al
France/IDF0386-islP3/2020	EPI_ISL_411220	1/28/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon	Olivier Terrier et al
Cambodia/0012/2020	EPI_ISL_411902	1/27/20	Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	Erik A Karlsson et al
Taiwan/CGMH-CGU-01/2020	EPI_ISL_411915	1/25/20	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Kuo-Chien Tsao et al
Taiwan/3/2020	EPI_ISL_411926	1/24/20	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	Ji-Rong Yang et al
Taiwan/4/2020	EPI_ISL_411927	1/28/20	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	Ji-Rong Yang et al
SouthKorea/SNU01/2020	EPI_ISL_411929	2020-01-XX	unknown	Department of Clinical Diagnostics	Park et al
Jiangsu/JS01/2020	EPI_ISL_411950	1/23/20	NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology	Jiangsu Provincial Center for Disease Control & Prevention	Lunbiao Cui et al
Sweden/01/2020	EPI_ISL_411951	2/7/20	unknown	Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden	Bengner et al
Jiangsu/JS02/2020	EPI_ISL_411952	1/24/20	NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology	Jiangsu Provincial Center for Disease Control & Prevention	Kangchen Zhao et al
Jiangsu/JS03/2020	EPI_ISL_411953	1/24/20	NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology	Jiangsu Provincial Center for Disease Control & Prevention	Kangchen Zhao et al
USA/CA7/2020	EPI_ISL_411954	2/6/20	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
USA/CA8/2020	EPI_ISL_411955	2/10/20	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
USA/TX1/2020	EPI_ISL_411956	2/11/20	Texas Department of State Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
Hefei/2/2020	EPI_ISL_412026	2/23/20	Second Hospital of Anhui Medical University	Second Hospital of Anhui Medical University	Changtai Wang et al
HongKong/VM20001061-2/2020	EPI_ISL_412028	1/22/20	Hong Kong Department of Health	School of Public Health, The University of Hon g Kong	Dominic N.C. Tsang et al
HongKong/VB20024950-2/2020	EPI_ISL_412029	1/30/20	Hong Kong Department of Health	The University of Hong Kong	Dominic N.C. Tsang et al
HongKong/VB20026565-2/2020	EPI_ISL_412030	2/1/20	Hong Kong Department of Health	School of Public Health, The University of Hon g Kong	Dominic N.C. Tsang et al
England/09c/2020	EPI_ISL_412116	2/9/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
Jingzhou/HBCDC-HB-01/2020	EPI_ISL_412459	1/8/20	Jingzhou Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
USA/CA9/2020	EPI_ISL_412862	2/23/20	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
SouthKorea/KCDC05/2020	EPI_ISL_412869	1/30/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC06/2020	EPI_ISL_412870	1/30/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC07/2020	EPI_ISL_412871	1/31/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC12/2020	EPI_ISL_412872	2/1/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC24/2020	EPI_ISL_412873	2/6/20	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
Wuhan/HBCDC-HB-02/2019	EPI_ISL_412898	12/30/19	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Wuhan/HBCDC-HB-03/2019	EPI_ISL_412899	12/30/19	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Germany/Baden-Wuerttemberg-1/2020	EPI_ISL_412912	2/25/20	State Health Office Baden-Wuerttemberg	Charité Universitätsmedizin Berlin, Institute of Virology	Victor M Corman et al
